term_str,n,n_chars,p,s,i,h
others,184,6,0.00035473914141560196,2818.9728260869565,11.46095385556136,0.00406564893052567
below,184,5,0.00035473914141560196,2818.9728260869565,11.46095385556136,0.00406564893052567
gone,183,4,0.00035281121129921285,2834.3770491803275,11.468815973334332,0.004046326855719846
sky,183,3,0.00035281121129921285,2834.3770491803275,11.468815973334332,0.004046326855719846
white,181,5,0.0003489553510664345,2865.6961325966854,11.484669924535169,0.004007637025398292
wholly,180,6,0.0003470274209500454,2881.616666666667,11.492662715288699,0.003988269101935383
right,178,5,0.00034317156071726713,2913.9943820224717,11.508782380651976,0.0039494868115237235
windows,178,7,0.00034317156071726713,2913.9943820224717,11.508782380651976,0.0039494868115237235
morning,177,7,0.00034124363060087797,2930.4576271186443,11.516910261535376,0.003930072270950839
window,177,6,0.00034124363060087797,2930.4576271186443,11.516910261535376,0.003930072270950839
ye,176,2,0.00033931570048448885,2947.1079545454545,11.525084192981076,0.0039106420160840835
within,175,6,0.0003373877703680997,2963.9485714285715,11.533304699786045,0.003891195957636739
death,175,5,0.0003373877703680997,2963.9485714285715,11.533304699786045,0.003891195957636739
across,175,6,0.0003373877703680997,2963.9485714285715,11.533304699786045,0.003891195957636739
quite,174,5,0.0003354598402517106,2980.9827586206893,11.541572315769645,0.0038717340053016506
held,173,4,0.0003335319101353214,2998.21387283237,11.549887583981649,0.0038522560677336317
home,173,4,0.0003335319101353214,2998.21387283237,11.549887583981649,0.0038522560677336317
second,173,6,0.0003335319101353214,2998.21387283237,11.549887583981649,0.0038522560677336317
take,173,4,0.0003335319101353214,2998.21387283237,11.549887583981649,0.0038522560677336317
matter,172,6,0.00033160398001893225,3015.6453488372094,11.558251056916276,0.0038327620525314674
grew,172,4,0.00033160398001893225,3015.6453488372094,11.558251056916276,0.0038327620525314674
nameless,171,8,0.00032967604990254314,3033.280701754386,11.566663296732475,0.0038132518662194895
reached,171,7,0.00032967604990254314,3033.280701754386,11.566663296732475,0.0038132518662194895
beneath,170,7,0.00032774811978615397,3051.123529411765,11.575124875480672,0.00379372541422873
good,170,4,0.00032774811978615397,3051.123529411765,11.575124875480672,0.00379372541422873
wind,170,4,0.00032774811978615397,3051.123529411765,11.575124875480672,0.00379372541422873
willett,169,7,0.00032582018966976486,3069.1775147928993,11.583636375336189,0.0037741826008776246
having,167,6,0.0003219643294369866,3105.934131736527,11.60081151914432,0.003735047501686171
itself,167,6,0.0003219643294369866,3105.934131736527,11.60081151914432,0.003735047501686171
next,167,4,0.0003219643294369866,3105.934131736527,11.60081151914432,0.003735047501686171
low,166,3,0.0003200363993205974,3124.644578313253,11.609476380271449,0.0037154550187395974
dream,165,5,0.0003181084692042083,3143.581818181818,11.618193597372558,0.0036958457801783188
hills,164,5,0.00031618053908781914,3162.75,11.62696380700029,0.0036762196844519137
let,163,3,0.00031425260897143,3182.153374233129,11.635787657387295,0.003656576628771521
why,162,3,0.00031232467885504087,3201.796296296296,11.644665808733748,0.0036369165090870425
none,162,4,0.00031232467885504087,3201.796296296296,11.644665808733748,0.0036369165090870425
odd,161,3,0.0003103967487386517,3221.6832298136646,11.653598933503757,0.003617239220063785
possible,161,8,0.0003103967487386517,3221.6832298136646,11.653598933503757,0.003617239220063785
ground,161,6,0.0003103967487386517,3221.6832298136646,11.653598933503757,0.003617239220063785
tried,161,5,0.0003103967487386517,3221.6832298136646,11.653598933503757,0.003617239220063785
charles,161,7,0.0003103967487386517,3221.6832298136646,11.653598933503757,0.003617239220063785
sort,160,4,0.0003084688186222626,3241.81875,11.66258771673101,0.003597544655058526
north,159,5,0.0003065408885058734,3262.2075471698113,11.671632856334018,0.003577832706094975
full,158,4,0.0003046129583894843,3282.8544303797466,11.68073506344127,0.0035581032638386263
curwen,158,6,0.0003046129583894843,3282.8544303797466,11.68073506344127,0.0035581032638386263
deep,158,4,0.0003046129583894843,3282.8544303797466,11.68073506344127,0.0035581032638386263
often,156,5,0.00030075709815670604,3324.9423076923076,11.699113592756126,0.0035185914551630077
nature,156,6,0.00030075709815670604,3324.9423076923076,11.699113592756126,0.0035185914551630077
evil,156,4,0.00030075709815670604,3324.9423076923076,11.699113592756126,0.0035185914551630077
point,156,5,0.00030075709815670604,3324.9423076923076,11.699113592756126,0.0035185914551630077
least,155,5,0.00029882916804031687,3346.393548387097,11.708391406344136,0.0034988088630482136
work,155,4,0.00029882916804031687,3346.393548387097,11.708391406344136,0.0034988088630482136
arkham,155,6,0.00029882916804031687,3346.393548387097,11.708391406344136,0.0034988088630482136
during,154,6,0.0002969012379239277,3368.1233766233768,11.717729270923472,0.0034790083261946217
keep,154,4,0.0002969012379239277,3368.1233766233768,11.717729270923472,0.0034790083261946217
whilst,153,6,0.0002949733078075386,3390.1372549019607,11.727127968925721,0.0034591897280763216
wall,153,4,0.0002949733078075386,3390.1372549019607,11.727127968925721,0.0034591897280763216
anything,153,8,0.0002949733078075386,3390.1372549019607,11.727127968925721,0.0034591897280763216
case,152,4,0.00029304537769114943,3412.4407894736846,11.736588298174787,0.003439352950644155
